J         CT        CP        eta
0.154753  0.121721  0.064641  0.291403
0.194131  0.119532  0.064112  0.361946
0.234051  0.116857  0.064048  0.427032
0.274929  0.111451  0.064167  0.477515
0.313158  0.108652  0.064187  0.530101
0.354219  0.101091  0.064165  0.558067
0.393207  0.095673  0.063601  0.591496
0.432453  0.090704  0.062936  0.623258
0.470634  0.084963  0.061854  0.646466
0.511371  0.079009  0.060693  0.665690
0.553103  0.071664  0.058752  0.674666
0.592100  0.064012  0.055951  0.677398
0.631166  0.057218  0.053491  0.675144
0.669753  0.049873  0.050350  0.663407
0.670698  0.050139  0.050474  0.666250
0.708750  0.040768  0.045747  0.631620
0.722416  0.037730  0.044153  0.617310
0.750357  0.030836  0.040291  0.574272
0.759801  0.028153  0.038654  0.553385
0.789149  0.021878  0.034965  0.493779
0.791559  0.021789  0.035132  0.490923
0.841710  0.011317  0.028680  0.332143
0.868676  0.005114  0.024713  0.179720
0.915133 -0.005686  0.017523 -0.296923
0.950185 -0.012059  0.013460 -0.851298
0.999622 -0.022288  0.006829 -3.263164
1.000164 -0.022262  0.006684 -3.331025
