J       CT       CP       eta
0.113   0.0912   0.0381   0.271
0.145   0.0890   0.0386   0.335
0.174   0.0864   0.0389   0.387
0.200   0.0834   0.0389   0.429
0.233   0.0786   0.0387   0.474
0.260   0.0734   0.0378   0.505
0.291   0.0662   0.0360   0.536
0.316   0.0612   0.0347   0.557
0.346   0.0543   0.0323   0.580
0.375   0.0489   0.0305   0.603
0.401   0.0451   0.0291   0.620
0.432   0.0401   0.0272   0.635
0.466   0.0345   0.0250   0.644
0.487   0.0307   0.0233   0.641
0.493   0.0297   0.0229   0.640
0.519   0.0254   0.0210   0.630
0.548   0.0204   0.0188   0.595
0.553   0.0194   0.0183   0.586
0.581   0.0146   0.0162   0.523
0.610   0.0094   0.0137   0.419
0.639   0.0043   0.0111   0.248
0.667   -0.0010   0.0082   -0.085
0.691   -0.0054   0.0058   -0.643
